My Chemical Romance:,,links
,Inspire The Liars,https://www.youtube.com/watch?v=7omGFaCG1lI
,Uneasy Hearts Weigh The Most,https://www.youtube.com/watch?v=UVQL8VBE7CI
,Rock Solid,https://www.youtube.com/watch?v=7j1qvXMVkio
,,
Mayday parade,,
,Jamie All Over,https://www.youtube.com/watch?v=rqKPpJuWYGE
,When I Get Home You're So Dead,https://www.youtube.com/watch?v=FcMJKPu2sdY
,Miserable At Best,https://www.youtube.com/watch?v=aWyw1YvAx3I
,Black Cat,https://www.youtube.com/watch?v=5hQYC2gL30A
,I Swear This Time I Mean It,https://www.youtube.com/watch?v=OGxvee9CA10
,Three Cheers for Five Years,https://www.youtube.com/watch?v=Pv1PoxrJfKc
,,
Avril Lavigne,,
,Complicated,https://www.youtube.com/watch?v=vnsZ6VrprHw
,I'm With You,https://www.youtube.com/watch?v=XlKC209azAE
,Sk8er Boi,https://www.youtube.com/watch?v=eAgqlIoXh08
,When You're Gone,https://www.youtube.com/watch?v=0lI2-BT67yc
,My Happy Ending,https://www.youtube.com/watch?v=-s7evqWZdOg
,Nobody's Home,https://www.youtube.com/watch?v=2tzo9lnbVAA
,Keep Holding On,https://www.youtube.com/watch?v=lqgDUW6SvHs
,,
The All-American Rejects,,
,Gives You Hell,https://www.youtube.com/watch?v=zxu37NK0tZM
,Dirty Little Secret,https://www.youtube.com/watch?v=IIoQy1QdCp8
,Move Along,https://www.youtube.com/watch?v=R5WmlVqRf9I
,"Swing, Swing",https://www.youtube.com/watch?v=bSnJ-evVIIA
,My Paper Heart,https://www.youtube.com/watch?v=p6xYJMZe77k
,,
Sleeping with sirens,,
,Can't Hang,https://www.youtube.com/watch?v=aibjbQ591B8
,"If I'm James Dean, You're Audrey Hepburn",https://www.youtube.com/watch?v=hir53QC2Qaw
,A Trophy Father's Trophy Son,https://www.youtube.com/watch?v=bf6_jzM792Q
,The Bomb Dot Com V2 0,https://www.youtube.com/watch?v=QpdibFRto54
,Captain Tyin Knots vs Mr Walkway No Way,https://www.youtube.com/watch?v=zQiH753tk-g
,,
Atreyu,,
,Becoming The Bull,https://www.youtube.com/watch?v=a8uS7_UyM2Q
,Ex's And Oh's,https://www.youtube.com/watch?v=Xj-XZvdEBA8
,The Crimson,https://www.youtube.com/watch?v=iBMFWMy5EqI
,Lip Gloss And Black,https://www.youtube.com/watch?v=dVTtifFNdIo
,,
Red Jumpsuit Apparatus,,
,Face Down,https://www.youtube.com/watch?v=sSvVzYW7ea8
,Your Guardian Angel,https://www.youtube.com/watch?v=r197dD_ehGQ
,False Pretense,https://www.youtube.com/watch?v=RB5V-AbxWlk
,Damn Regret,https://www.youtube.com/watch?v=-kCTX4po1M8
,Cat and Mouse,https://www.youtube.com/watch?v=y87zW5qZedA
,,
Saosin,,
,Seven Years,https://www.youtube.com/watch?v=QkMAToqg404
,You're Not Alone,https://www.youtube.com/watch?v=E8swxrSPBRE
,Bury Your Head,https://www.youtube.com/watch?v=YnJ_YFFrwes
,,
Silverstein,,
,Smile in Your Sleep,https://www.youtube.com/watch?v=MVXO8Xl3e_w
,My Heroine,https://www.youtube.com/watch?v=5s3-ouIPfqA
,Smashed into Pieces,https://www.youtube.com/watch?v=qIxElBJCZRE
,,
3oh!3,,
,Starstrukk,https://www.youtube.com/watch?v=y1QbulFXQhU
,My First Kiss,https://www.youtube.com/watch?v=PV_xERvKZ5U
,Don't Trust Me,https://www.youtube.com/watch?v=KC5CRRn_pkg
,,
The ready set,,
,THE READY SET - LOVE LIKE WOE - KARAOKE,https://www.youtube.com/watch?v=ioJEJRSZwSM
,,
Jimmy eat world,,
,The Middle,https://www.youtube.com/watch?v=nWj94J8f4k8
,Sweetness,https://www.youtube.com/watch?v=GTSrEeH-xiI
,Pain,https://www.youtube.com/watch?v=OGv7mDoYRvo
,Futures,https://www.youtube.com/watch?v=8pJ3zbZYHM4
,Bleed American,https://www.youtube.com/watch?v=yaURVBYsoH8
,,
The used,,
,The Taste Of Ink,https://www.youtube.com/watch?v=4QL1-aeZ8Mc
